8 threads:
4096 blocks per slice
i 00664 v 000000000051fc28
i 00665 v 000000000052090f
i 00666 v 0000000000523f05
i 00667 v 0000000000528551
i 00668 v 00000000005361e8
i 00669 v 000000000053a052
i 00670 v 000000000053d475
i 00671 v 0000000000543d34
i 00672 v 0000000000545ba8
i 00673 v 000000000054f19b
i 00674 v 0000000000551a87
i 00675 v 000000000055840d
i 00676 v 000000000055ea03
i 00677 v 000000000056245d
i 00678 v 0000000000568a56
i 00679 v 0000000000579825
i 00680 v 000000000057a53a
i 00681 v 0000000000583fd8
i 00682 v 000000000058e7e2
i 00683 v 000000000059450f
i 00684 v 00000000005a9218
i 00685 v 00000000005ac5da
i 00686 v 00000000005b0ab4
i 00687 v 00000000005b4e7d
i 00688 v 00000000005b5d86
i 00689 v 00000000005c3380
i 00690 v 00000000005c6b65
i 00691 v 00000000005e5446
i 00692 v 00000000005fc56d
i 00693 v 00000000005fdf5f
i 00694 v 0000000000603df9
i 00695 v 0000000000624860
i 00696 v 0000000000632ca9
i 00697 v 000000000063419d
i 00698 v 000000000063e36f
i 00699 v 00000000006421d1
i 00700 v 000000000064c7c7
i 00701 v 000000000064ec9e
i 00702 v 0000000000663e28
i 00703 v 000000000066608a
i 00704 v 000000000067071a
i 00705 v 0000000000671383
i 00706 v 0000000000677482
i 00707 v 0000000000679a0a
i 00708 v 000000000067e3b0
i 00709 v 00000000006872be
i 00710 v 0000000000696c9b
i 00711 v 0000000000698252
i 00712 v 00000000006a8c28
i 00713 v 00000000006a9de2
i 00714 v 00000000006b2d0a
i 00715 v 00000000006c1e31
i 00716 v 00000000006cb0d2
i 00717 v 00000000006dffbb
i 00718 v 00000000006e5ff9
i 00719 v 00000000006ed705
i 00720 v 0000000000700b86
i 00721 v 0000000000704549
i 00722 v 0000000000709669
i 00723 v 000000000070c80b
i 00724 v 000000000070f060
i 00725 v 00000000007114d6
i 00726 v 000000000074b1f4
i 00727 v 000000000075c1df
i 00728 v 0000000000771897
i 00729 v 000000000078ad39
i 00730 v 0000000000797b42
i 00731 v 00000000007a4658
i 00732 v 00000000007b41f1
i 00733 v 00000000007b570c
i 00734 v 00000000007c31f7
i 00735 v 00000000007d50f8
i 00736 v 00000000007d5986
i 00737 v 00000000007d8b94
i 00738 v 00000000007f2c62
i 00739 v 0000000000800000
0.050 ms for 23 check bits
i 00740 v 0000000000800175
i 00741 v 0000000000800294
i 00742 v 000000000080044f
i 00743 v 0000000000800785
i 00744 v 00000000008008d9
i 00745 v 0000000000800f63
i 00746 v 0000000000801052
i 00747 v 000000000080198c
i 00748 v 00000000008024a9
i 00749 v 000000000080261f
i 00750 v 00000000008028f6
i 00751 v 0000000000803a3a
i 00752 v 0000000000804029
i 00753 v 0000000000805356
i 00754 v 0000000000805ad2
i 00755 v 000000000080619b
i 00756 v 0000000000808cb6
i 00757 v 00000000008097e9
i 00758 v 000000000080a1e0
i 00759 v 000000000080aa66
i 00760 v 000000000080bff2
i 00761 v 000000000080c947
i 00762 v 000000000080d1f5
i 00763 v 000000000080df5b
i 00764 v 0000000000810c23
i 00765 v 00000000008112c7
i 00766 v 00000000008132fa
i 00767 v 0000000000813ef6
i 00768 v 00000000008147da
i 00769 v 0000000000814a8b
i 00770 v 0000000000816124
i 00771 v 000000000081b715
i 00772 v 00000000008203d3
i 00773 v 000000000082631a
i 00774 v 0000000000828aed
i 00775 v 000000000082a4ee
i 00776 v 000000000082c98a
i 00777 v 000000000082f1dd
i 00778 v 0000000000830321
i 00779 v 0000000000832510
i 00780 v 0000000000832fd9
i 00781 v 000000000083490e
i 00782 v 000000000083aa53
i 00783 v 0000000000841518
i 00784 v 000000000084498e
i 00785 v 00000000008455ad
i 00786 v 0000000000845d47
i 00787 v 000000000084e23e
i 00788 v 000000000084eec2
i 00789 v 0000000000851da0
i 00790 v 00000000008545a2
i 00791 v 000000000085f928
i 00792 v 0000000000862c20
i 00793 v 0000000000867206
i 00794 v 000000000086c479
i 00795 v 000000000086d481
i 00796 v 000000000087016a
i 00797 v 000000000087116d
i 00798 v 0000000000873839
i 00799 v 000000000087e6ca
i 00800 v 0000000000884a60
i 00801 v 000000000088922b
i 00802 v 000000000088d02d
i 00803 v 0000000000899028
i 00804 v 000000000089ad4c
i 00805 v 000000000089ef40
i 00806 v 00000000008a3044
i 00807 v 00000000008a3b16
i 00808 v 00000000008a4b7e
i 00809 v 00000000008a82d1
i 00810 v 00000000008a96d2
i 00811 v 00000000008b6488
i 00812 v 00000000008c5fed
i 00813 v 00000000008cafc0
i 00814 v 00000000008cd777
i 00815 v 00000000008cef8c
i 00816 v 00000000008d1a22
i 00817 v 00000000008d30f7
i 00818 v 00000000008e7e07
i 00819 v 00000000008e87e9
i 00820 v 00000000008f5065
i 00821 v 00000000008f981a
i 00822 v 000000000090b13d
i 00823 v 000000000090e83d
i 00824 v 000000000091a512
i 00825 v 000000000091f50f
i 00826 v 000000000091ff56
i 00827 v 0000000000921beb
i 00828 v 0000000000926770
i 00829 v 000000000092e0a2
i 00830 v 00000000009340c0
i 00831 v 000000000093c296
i 00832 v 0000000000941412
i 00833 v 0000000000946f60
i 00834 v 000000000094d2b8
i 00835 v 000000000094fc1d
i 00836 v 00000000009544d9
i 00837 v 0000000000956cd0
i 00838 v 0000000000961d68
i 00839 v 0000000000965554
i 00840 v 000000000096702e
i 00841 v 000000000096c5fd
i 00842 v 0000000000982bcc
i 00843 v 00000000009842b1
i 00844 v 000000000098c4c2
i 00845 v 00000000009996bc
i 00846 v 00000000009b36b7
i 00847 v 00000000009c89c5
i 00848 v 00000000009cbf72
i 00849 v 00000000009e8841
i 00850 v 00000000009eaef7
i 00851 v 0000000000a1ad9d
i 00852 v 0000000000a1cbc4
i 00853 v 0000000000a2a7bf
i 00854 v 0000000000a2cd7c
i 00855 v 0000000000a3a6b9
i 00856 v 0000000000a442b1
i 00857 v 0000000000a4bc4c
i 00858 v 0000000000a53eb2
i 00859 v 0000000000a5a9ab
i 00860 v 0000000000a6f241
i 00861 v 0000000000a808ea
i 00862 v 0000000000a89cbb
i 00863 v 0000000000aa41d3
i 00864 v 0000000000aae807
i 00865 v 0000000000aaf00b
i 00866 v 0000000000aba7da
i 00867 v 0000000000abc258
i 00868 v 0000000000ac2425
i 00869 v 0000000000ac7b5d
i 00870 v 0000000000ac9b41
i 00871 v 0000000000adb75a
i 00872 v 0000000000b00974
i 00873 v 0000000000b08499
i 00874 v 0000000000b13aa1
i 00875 v 0000000000b14ead
i 00876 v 0000000000b286c6
i 00877 v 0000000000b2c0a7
i 00878 v 0000000000b36c8e
i 00879 v 0000000000b405a2
i 00880 v 0000000000b4ec5f
i 00881 v 0000000000b51fa2
i 00882 v 0000000000b5f0d7
i 00883 v 0000000000b644f5
i 00884 v 0000000000b87270
i 00885 v 0000000000b973ef
i 00886 v 0000000000b9d3f4
i 00887 v 0000000000ba3db0
i 00888 v 0000000000bb22a4
i 00889 v 0000000000bce970
i 00890 v 0000000000bd8761
i 00891 v 0000000000be9602
i 00892 v 0000000000bea1a9
i 00893 v 0000000000bff9a9
i 00894 v 0000000000c12856
i 00895 v 0000000000c2e53b
i 00896 v 0000000000c3a06d
